Team,hg_scored,hg_conceded,avg_hgs,avg_hgc,home_matches,seasons,ag_scored,ag_conceded,avg_ags,avg_agc,away_matches,total_scored,total_conceded,total_matches,avg_scored,avg_conceded,goal_difference
Arsenal,1154,479,2.0460992907801416,0.849290780141844,564,30,868,647,1.536283185840708,1.1451327433628318,565,2022,1126,1129,1.79096545615589,0.9973427812223207,896
Aston Villa,663,572,1.3051181102362204,1.125984251968504,508,27,568,768,1.1181102362204725,1.5118110236220472,508,1231,1340,1016,1.2116141732283465,1.3188976377952757,-109
Barnsley,25,35,1.3157894736842106,1.8421052631578947,19,1,12,47,0.631578947368421,2.473684210526316,19,37,82,38,0.9736842105263158,2.1578947368421053,-45
Birmingham,162,140,1.218045112781955,1.0526315789473684,133,7,111,220,0.8345864661654135,1.6541353383458646,133,273,360,266,1.0263157894736843,1.3533834586466165,-87
Blackburn,507,363,1.5504587155963303,1.110091743119266,327,17,352,498,1.0764525993883791,1.5229357798165137,327,859,861,654,1.3134556574923548,1.31651376146789,-2
Blackpool,30,37,1.5789473684210527,1.9473684210526316,19,1,25,41,1.3157894736842106,2.1578947368421053,19,55,78,38,1.4473684210526316,2.0526315789473686,-23
Bolton,319,313,1.2914979757085021,1.2672064777327936,247,13,256,432,1.0364372469635628,1.7489878542510122,247,575,745,494,1.1639676113360324,1.508097165991903,-170
Bournemouth,146,159,1.3904761904761904,1.5142857142857142,105,6,114,213,1.0857142857142856,2.0285714285714285,105,260,372,210,1.2380952380952381,1.7714285714285714,-112
Bradford,46,58,1.2105263157894737,1.5263157894736843,38,2,22,80,0.5789473684210527,2.1052631578947367,38,68,138,76,0.8947368421052632,1.8157894736842106,-70
Brentford,42,31,1.4482758620689655,1.0689655172413792,29,2,38,53,1.3103448275862069,1.8275862068965518,29,80,84,58,1.3793103448275863,1.4482758620689655,-4
Brighton,120,135,1.1538461538461537,1.2980769230769231,104,6,107,150,1.019047619047619,1.4285714285714286,105,227,285,209,1.0861244019138756,1.3636363636363635,-58
Burnley,161,195,1.0592105263157894,1.2828947368421053,152,8,139,260,0.9144736842105263,1.7105263157894737,152,300,455,304,0.9868421052631579,1.4967105263157894,-155
Cardiff,41,73,1.0789473684210527,1.9210526315789473,38,2,25,70,0.6578947368421053,1.8421052631578947,38,66,143,76,0.868421052631579,1.881578947368421,-77
Charlton,199,198,1.3092105263157894,1.3026315789473684,152,8,143,244,0.9407894736842105,1.605263157894737,152,342,442,304,1.125,1.4539473684210527,-100
Chelsea,1105,470,1.9592198581560283,0.8333333333333334,564,30,839,622,1.482332155477032,1.098939929328622,566,1944,1092,1130,1.7203539823008849,0.9663716814159292,852
Coventry,190,171,1.2179487179487178,1.0961538461538463,156,8,145,262,0.9294871794871795,1.6794871794871795,156,335,433,312,1.0737179487179487,1.3878205128205128,-98
Crystal Palace,255,314,1.058091286307054,1.3029045643153527,241,13,262,378,1.096234309623431,1.5815899581589958,239,517,692,480,1.0770833333333334,1.4416666666666667,-175
Derby,157,177,1.1804511278195489,1.330827067669173,133,7,114,243,0.8571428571428571,1.8270676691729324,133,271,420,266,1.018796992481203,1.5789473684210527,-149
Everton,864,627,1.5292035398230088,1.1097345132743364,565,30,589,827,1.0424778761061948,1.463716814159292,565,1453,1454,1130,1.2858407079646017,1.286725663716814,-1
Fulham,398,379,1.3445945945945945,1.2804054054054055,296,16,265,482,0.8983050847457628,1.6338983050847458,295,663,861,591,1.1218274111675126,1.4568527918781726,-198
Huddersfield,26,56,0.6842105263157895,1.4736842105263157,38,2,24,78,0.631578947368421,2.0526315789473686,38,50,134,76,0.6578947368421053,1.763157894736842,-84
Hull,107,145,1.1263157894736842,1.5263157894736843,95,5,74,178,0.7789473684210526,1.8736842105263158,95,181,323,190,0.9526315789473684,1.7,-142
Ipswich,96,105,1.2,1.3125,80,4,73,152,0.9125,1.9,80,169,257,160,1.05625,1.60625,-88
Leeds,379,287,1.4521072796934866,1.0996168582375478,261,14,335,390,1.2884615384615385,1.5,260,714,677,521,1.3704414587332054,1.2994241842610366,37
Leicester,446,401,1.4113924050632911,1.268987341772152,316,17,402,502,1.2721518987341771,1.5886075949367089,316,848,903,632,1.3417721518987342,1.4287974683544304,-55
Liverpool,1138,449,2.0141592920353983,0.7946902654867256,565,30,855,668,1.5159574468085106,1.1843971631205674,564,1993,1117,1129,1.7652790079716563,0.9893711248892826,876
Man City,965,445,2.0488322717622083,0.9447983014861996,471,25,690,592,1.4712153518123667,1.2622601279317698,469,1655,1037,940,1.7606382978723405,1.103191489361702,618
Man United,1192,419,2.1134751773049647,0.7429078014184397,564,30,958,641,1.6925795053003534,1.1325088339222615,566,2150,1060,1130,1.9026548672566372,0.9380530973451328,1090
Middlesbrough,360,328,1.3533834586466165,1.2330827067669172,266,14,234,391,0.8796992481203008,1.4699248120300752,266,594,719,532,1.1165413533834587,1.3515037593984962,-125
Newcastle,849,596,1.6110056925996206,1.1309297912713472,527,28,561,832,1.064516129032258,1.5787476280834916,527,1410,1428,1054,1.3377609108159392,1.3548387096774193,-18
Norwich,209,260,1.1942857142857144,1.4857142857142858,175,9,144,344,0.8228571428571428,1.9657142857142857,175,353,604,350,1.0085714285714287,1.7257142857142858,-251
Nott'm Forest,111,105,1.2613636363636365,1.1931818181818181,88,5,93,155,1.0568181818181819,1.7613636363636365,88,204,260,176,1.1590909090909092,1.4772727272727273,-56
Oldham,24,33,1.1428571428571428,1.5714285714285714,21,1,18,35,0.8571428571428571,1.6666666666666667,21,42,68,42,1,1.619047619047619,-26
Portsmouth,184,159,1.3834586466165413,1.1954887218045114,133,7,108,221,0.8120300751879699,1.6616541353383458,133,292,380,266,1.0977443609022557,1.4285714285714286,-88
QPR,153,158,1.2966101694915255,1.3389830508474576,118,6,123,218,1.0423728813559323,1.847457627118644,118,276,376,236,1.1694915254237288,1.5932203389830508,-100
Reading,71,78,1.2456140350877194,1.368421052631579,57,3,65,108,1.1403508771929824,1.894736842105263,57,136,186,114,1.1929824561403508,1.631578947368421,-50
Sheffield United,84,86,1.0769230769230769,1.1025641025641026,78,4,49,131,0.6282051282051282,1.6794871794871795,78,133,217,156,0.8525641025641025,1.391025641025641,-84
Sheffield Weds,200,161,1.4598540145985401,1.1751824817518248,137,7,154,241,1.1240875912408759,1.7591240875912408,137,354,402,274,1.2919708029197081,1.467153284671533,-48
Southampton,607,538,1.4050925925925926,1.2453703703703705,432,23,434,718,1.0046296296296295,1.662037037037037,432,1041,1256,864,1.2048611111111112,1.4537037037037037,-215
Stoke,248,213,1.305263157894737,1.1210526315789473,190,10,150,312,0.7894736842105263,1.6421052631578947,190,398,525,380,1.0473684210526315,1.381578947368421,-127
Sunderland,336,371,1.105263157894737,1.2203947368421053,304,16,276,533,0.9078947368421053,1.7532894736842106,304,612,904,608,1.006578947368421,1.486842105263158,-292
Swansea,179,170,1.3458646616541354,1.2781954887218046,133,7,127,213,0.9548872180451128,1.6015037593984962,133,306,383,266,1.150375939849624,1.4398496240601504,-77
Swindon,25,45,1.1904761904761905,2.142857142857143,21,1,22,55,1.0476190476190477,2.619047619047619,21,47,100,42,1.119047619047619,2.380952380952381,-53
Tottenham,976,608,1.727433628318584,1.0761061946902655,565,30,749,795,1.323321554770318,1.4045936395759717,566,1725,1403,1131,1.5251989389920424,1.240495137046861,322
Watford,180,236,1.1842105263157894,1.5526315789473684,152,8,130,282,0.8552631578947368,1.855263157894737,152,310,518,304,1.019736842105263,1.7039473684210527,-208
West Brom,295,361,1.194331983805668,1.4615384615384615,247,13,215,411,0.8704453441295547,1.6639676113360324,247,510,772,494,1.0323886639676114,1.562753036437247,-262
West Ham,741,647,1.4586614173228347,1.2736220472440944,508,27,511,807,1.0059055118110236,1.5885826771653544,508,1252,1454,1016,1.2322834645669292,1.4311023622047243,-202
Wigan,169,215,1.111842105263158,1.4144736842105263,152,8,147,267,0.9671052631578947,1.756578947368421,152,316,482,304,1.0394736842105263,1.5855263157894737,-166
Wimbledon,186,175,1.3576642335766422,1.2773722627737227,137,7,142,242,1.0364963503649636,1.7664233576642336,137,328,417,274,1.197080291970803,1.5218978102189782,-89
Wolves,187,234,1.154320987654321,1.4444444444444444,162,9,153,258,0.9444444444444444,1.5925925925925926,162,340,492,324,1.0493827160493827,1.5185185185185186,-152
